zi,longitudine,latitudine,adancime epicentru,tip placa,replici,magnitudine ultimul,magnitudine
15.0,12.34743025569918,48.72427143814222,54.48212380493685,transformare,9.0,,6.4
25.0,41.20336795039092,83.09754611002468,71.05553794440404,transformare,5.0,5.0,6.6
18.0,64.43710863501533,74.69076317430088,63.06094763517108,convergenta,3.0,2.2,4.5
6.0,78.32555757293933,87.14577692648676,70.30186512663843,transformare,4.0,5.7,6.1
26.0,106.36681059604246,82.78045297003425,72.7193149049969,transformare,,1.5,7.0
14.0,130.03047336568255,3.2430435685712533,98.81366983695591,convergenta,8.0,4.9,5.7
9.0,57.17373718931031,15.729480374484597,97.21299100514187,transformare,2.0,8.9,5.6
10.0,59.21167678541696,35.02212093910672,56.9865075769883,convergenta,9.0,2.6,4.7
21.0,3.544495690266669,85.69284275658786,94.12929868661232,convergenta,7.0,3.1,4.9
20.0,7.357474816923295,27.002602752833663,54.01033311650393,transformare,9.0,3.6,6.2
17.0,46.40790497553655,,75.3817734858877,transformare,1.0,8.0,5.0
20.0,133.2440995814922,79.76741994779039,58.19549500548827,transformare,4.0,8.2,5.4
6.0,113.0964894673042,40.175497393488264,68.2946072678467,convergenta,2.0,8.6,3.5
16.0,138.56202372201025,81.70880349188934,87.16701128243324,convergenta,2.0,3.4,4.8
16.0,138.4054985186679,14.420741968812894,71.2252739678425,transformare,,4.9,6.2
1.0,154.18214418047424,59.500576035728955,90.34756437856669,convergenta,3.0,4.4,4.2
19.0,129.65746787763905,,85.9407855518771,convergenta,3.0,6.0,4.1
4.0,176.2219654201481,6.883809212725685,97.14197231055081,convergenta,5.0,3.7,
,161.78853947432714,62.68168301872505,76.70780102929386,convergenta,3.0,7.7,4.0
18.0,105.60908992018216,22.265887998523834,90.10739769938976,transformare,8.0,8.3,6.5
20.0,105.86838068841091,3.5653970321565955,66.1453553168526,transformare,5.0,8.2,5.0
20.0,6.1680672634013085,5.394986842461593,67.28729225449322,convergenta,1.0,3.5,4.2
20.0,179.73478398750376,5.4970683360108605,70.02552317907526,convergenta,8.0,5.1,4.2
15.0,23.68367952590552,81.69596617365355,70.54578671490445,divergenta,,5.5,5.8
8.0,133.26249539368655,66.58955260461909,55.162661033298725,transformare,5.0,8.8,4.6
1.0,147.78273512237558,80.82561214923615,75.95494696659318,convergenta,2.0,4.8,3.9
2.0,67.14981527493659,60.53240801668692,54.84016096345128,transformare,7.0,2.0,6.9
10.0,35.43336983975647,47.60459361277948,94.48810679098821,convergenta,9.0,6.3,4.5
26.0,17.776779622299905,27.400172791264044,53.092239161164656,convergenta,1.0,2.8,3.5
1.0,134.74908104932402,89.8166026195806,72.48472151546544,divergenta,5.0,4.2,5.0
11.0,81.47763525702523,32.59701530454504,64.23470331952153,convergenta,6.0,5.4,4.4
21.0,128.46919662020443,42.35840542925186,57.74347078272395,transformare,9.0,8.7,5.5
24.0,164.7733767933241,34.04206574311156,89.19183454211061,transformare,7.0,2.7,7.6
4.0,26.385072507190202,88.15742364019127,85.74661994597628,divergenta,1.0,7.9,4.4
12.0,165.45078013028393,15.71925468555052,57.29739450907566,convergenta,1.0,1.6,4.3
19.0,74.0927627115186,29.51892008172717,81.6382820553155,transformare,8.0,1.9,7.0
24.0,54.94806178151203,61.23137994135014,89.6277583665223,transformare,2.0,5.1,6.3
29.0,169.75120690850022,5.688685650476758,88.66661101849434,transformare,1.0,5.8,5.8
3.0,178.3173046691519,54.65244366103869,54.61397988316808,divergenta,6.0,2.9,5.1
1.0,35.80059919814067,42.98818525887745,84.27563595228881,divergenta,9.0,,
1.0,,25.559997908589096,85.80119604417885,,2.0,6.9,5.8
5.0,,21.45719528316522,93.10831335210136,divergenta,5.0,3.8,5.6
22.0,117.16452069435104,46.30614689688811,75.40221694324933,transformare,2.0,6.8,5.8
6.0,148.91638099965294,33.11348224833372,73.05470001516787,divergenta,9.0,5.4,5.6
7.0,123.20973837433218,41.086790213638984,98.25581624597349,transformare,1.0,4.3,6.6
9.0,75.11996557126723,30.37296435878159,89.82561278693768,convergenta,3.0,1.8,5.5
21.0,68.95194472147853,87.34443242363798,77.93654954032445,convergenta,9.0,8.8,3.7
18.0,70.76203474021507,,66.53085356556397,convergenta,5.0,4.4,4.4
16.0,106.14812723872618,8.712355786053678,92.26189980017554,convergenta,1.0,,3.5
5.0,158.6821086130492,30.905255591182446,72.77181947322023,convergenta,8.0,4.0,4.8
10.0,167.23190830837822,53.19242107834421,54.634259607908035,divergenta,8.0,,4.0
11.0,9.63533163731726,59.32588246650254,72.74521363567199,convergenta,4.0,2.0,4.2
,32.692031036223895,35.753107245123786,93.59841980750731,transformare,,3.6,7.1
25.0,20.20037684909193,89.9350194529954,72.41410734472227,divergenta,2.0,5.4,5.3
2.0,34.800235338044516,31.670369657373833,50.717457387017504,convergenta,9.0,6.1,3.5
2.0,62.38940590965092,64.92660011639572,80.57426619582348,transformare,5.0,6.3,6.4
8.0,91.17570287207229,57.38244250777136,99.79150017056993,convergenta,6.0,4.4,5.2
10.0,113.3030208616474,73.17484769227146,90.8624292020256,convergenta,4.0,6.2,4.1
26.0,131.78559944514626,87.8603097108438,80.8618973309074,transformare,2.0,8.0,5.8
4.0,160.22007744944528,,95.71994433989425,convergenta,9.0,7.8,4.4
7.0,178.03591870136233,68.81057769219377,90.67908408255309,convergenta,6.0,3.4,4.8
24.0,119.31416614028157,62.84236300364615,,convergenta,8.0,1.8,4.9
12.0,152.16561336019734,30.194835270830968,79.56101427036909,transformare,5.0,3.3,6.4
15.0,140.0469924464458,13.291702038603662,86.564640460151,transformare,4.0,7.6,6.2
19.0,55.355767059368155,5.6372402753828785,92.32130819894323,convergenta,8.0,6.4,4.7
28.0,157.62460864228615,21.771153378133633,52.90882011883557,convergenta,5.0,2.4,4.4
1.0,7.697364830603792,38.90533330631688,88.74019285805755,transformare,5.0,2.7,7.5
15.0,0.06612187526241486,46.97966462669842,72.3751719989101,convergenta,1.0,3.5,3.8
4.0,49.271873289923555,,83.03992801507704,divergenta,8.0,7.9,5.1
22.0,83.17755533294098,86.28668307509336,88.23165054794251,convergenta,6.0,4.5,5.0
13.0,114.90532110012192,,76.97509625137242,divergenta,,4.0,5.3
26.0,18.318647978018063,9.63037261744124,57.925742529019956,transformare,2.0,3.2,6.1
11.0,,53.072525071219566,70.4763415759133,convergenta,3.0,6.6,3.5
21.0,144.326856070745,67.08582665525637,53.84364968761899,transformare,8.0,8.8,5.0
,33.35632552428602,76.33353423122864,84.46503455776319,divergenta,1.0,2.1,5.7
5.0,74.7225458697229,84.22488721951098,97.68530909815416,convergenta,5.0,5.3,4.3
7.0,93.59729819159575,88.50836180345779,89.76264061120935,convergenta,6.0,8.3,4.0
5.0,81.32526325520652,35.98215230020733,69.48932113935594,transformare,5.0,3.5,6.6
,143.9693875599247,34.23016651748158,79.21457480027472,transformare,3.0,4.0,6.1
21.0,172.89403166147954,13.302780902754513,65.21003379234345,transformare,3.0,5.2,6.0
,143.8115695214724,61.64409948152035,77.05227997774824,,3.0,,
13.0,14.038707217648422,59.10857625967534,65.03634528923202,convergenta,2.0,7.5,3.0
5.0,144.8884029886429,77.58563362660865,86.9162378399305,transformare,8.0,3.4,7.1
21.0,11.98733980239921,8.753219530887657,62.96707539935127,divergenta,2.0,1.9,4.9
9.0,42.474669343482596,44.79992170428076,98.20101952169472,transformare,8.0,6.5,6.8
15.0,27.557441430430107,52.297373670485676,83.09743660867657,transformare,8.0,5.6,6.6
16.0,35.553439232295375,21.740133603592657,53.43889238419219,convergenta,4.0,8.5,2.9
21.0,95.0967228703231,15.212286551624516,50.538888175284654,convergenta,2.0,7.4,2.5
4.0,120.90417436995365,,99.85231721025502,divergenta,8.0,1.8,6.4
27.0,84.65783082048738,5.268143001200291,61.02527891078968,transformare,8.0,5.5,5.8
24.0,172.74521502526386,42.35588135262656,65.62813742285888,transformare,8.0,8.0,5.5
16.0,43.25261760543,10.425060117079676,60.42070071010542,divergenta,9.0,1.6,5.6
14.0,137.36524144586272,41.135288519823064,96.40508862355912,convergenta,4.0,4.3,5.1
22.0,156.63279213128672,88.19660937080783,82.6006429834307,divergenta,1.0,7.7,4.9
22.0,101.17189993584944,38.13357181099255,75.21931617780554,divergenta,8.0,3.4,6.0
17.0,82.12005035307956,77.14124257541106,,transformare,,1.6,7.3
18.0,107.31320042026385,10.55840077648745,65.89364236495936,convergenta,6.0,4.1,4.8
6.0,77.18575862886173,24.41268690856777,80.70875011819207,convergenta,6.0,1.8,5.2
10.0,99.93489881820649,36.341346660060104,70.9800181727466,transformare,6.0,8.4,6.0
4.0,75.04811138318428,35.98309260083977,59.96140732120896,divergenta,,7.9,4.3
1.0,72.08454785294413,60.42451308031378,82.83025498549407,convergenta,1.0,4.7,4.2
6.0,125.16236426511537,31.02463146379569,68.69202846296061,convergenta,5.0,4.6,4.2
1.0,16.713218352234232,64.23901815690147,89.25331895585808,divergenta,9.0,8.8,4.8
18.0,29.977573091187747,57.526820930285325,70.76974787547636,transformare,7.0,,6.1
19.0,153.2157249087007,,75.41356875230981,transformare,,4.8,5.8
5.0,138.79392242673384,38.858411488888734,89.37332395904482,transformare,6.0,4.5,6.6
3.0,50.66167091299088,55.30749298292886,72.39390464598655,convergenta,7.0,3.9,4.8
17.0,67.90840787983684,6.3037971130180175,98.31105675620822,convergenta,8.0,4.1,5.4
4.0,166.6847711931265,74.01660645201213,89.65143335975559,convergenta,5.0,4.8,4.6
3.0,147.25390053129502,58.80790450022732,91.32152026574893,transformare,8.0,8.4,6.5
11.0,110.58233399633356,,97.69602333518638,transformare,7.0,8.1,6.1
14.0,39.868232184532395,48.32307009741514,69.44253144216037,transformare,9.0,7.2,5.8
17.0,7.965354836748526,9.942939989257026,79.00401320910854,divergenta,1.0,7.4,4.5
8.0,77.62641243154167,36.45320519672549,84.67958703978017,transformare,4.0,4.7,6.7
22.0,121.07288506634313,36.48362245637004,83.67292417703155,convergenta,7.0,5.9,4.1
10.0,149.12648829321327,28.89386910388952,97.64683972805098,convergenta,9.0,8.2,4.9
1.0,153.48402103360849,2.695529241427442,64.41743169391673,convergenta,6.0,4.0,4.6
11.0,5.89966223280541,66.35288183368296,64.5680764312996,convergenta,5.0,4.5,4.3
19.0,43.948266090638285,9.880601225625064,95.90022010195733,convergenta,9.0,3.5,5.4
,61.03702592593255,54.567731974057665,89.96528208632799,divergenta,6.0,1.8,6.7
,33.97179797268946,63.28957468204942,60.16783120347989,convergenta,1.0,1.6,4.1
24.0,144.5355681054908,57.13076906403253,78.50234390463838,transformare,2.0,3.5,6.1
28.0,138.14383735528966,,87.28818670481641,transformare,3.0,8.6,5.4
3.0,93.02994726857474,9.296833957662475,67.65181952237546,transformare,8.0,3.9,7.0
26.0,176.926766039254,78.04504431946792,71.71911256106951,convergenta,8.0,8.2,4.0
3.0,25.930537396351607,2.627121136402193,78.76983058304465,convergenta,5.0,2.4,4.6
4.0,161.9373065989804,48.142516943437556,73.35542787741053,,6.0,6.6,5.8
,20.96338574914491,36.38192561453329,87.65211950345164,transformare,3.0,4.0,6.6
4.0,29.372706992541726,47.17654743543824,50.296937684153484,convergenta,3.0,8.2,2.9
19.0,125.31945604511138,32.85898893540088,71.73162621955252,divergenta,5.0,6.7,5.2
15.0,19.722544567504077,,66.87906876644358,convergenta,1.0,4.1,3.6
4.0,101.85211717536795,1.7210607703820802,80.45820264149134,transformare,6.0,5.2,6.6
21.0,75.64203656507765,46.63348324120569,88.79792209406799,divergenta,9.0,3.3,6.6
18.0,131.12531379738266,75.84991764163581,53.80725811007651,transformare,6.0,1.7,6.9
19.0,162.1215429855957,33.589436017031474,57.90298668005962,divergenta,2.0,2.0,5.5
28.0,138.57687264042997,20.05774362134822,83.25408120710166,convergenta,9.0,7.6,4.4
15.0,152.9441777558139,7.247880312465967,86.92012205077086,convergenta,9.0,7.0,4.4
10.0,5.930180735621828,7.677983080683303,79.41008885394177,transformare,5.0,6.5,5.9
27.0,55.835189683956564,19.9256801663495,99.14016744839631,transformare,1.0,8.3,6.0
2.0,92.77795560353982,9.001265482939967,74.97307445532873,transformare,6.0,3.4,7.0
5.0,74.8715966333603,23.853572852803385,56.81461675488218,transformare,8.0,1.6,6.7
11.0,41.62589153634392,5.953451590525924,84.314553018554,transformare,2.0,8.4,5.8
23.0,55.41733763280419,5.904438048893308,80.1037761097399,transformare,7.0,8.9,5.4
12.0,170.17757467048904,77.06485616605038,79.52107375151317,transformare,9.0,2.8,6.9
9.0,52.95255837684328,14.59082346379499,77.29268176231992,divergenta,9.0,6.5,5.4
12.0,63.70273983236143,50.371416524110316,96.95478547747695,transformare,8.0,2.3,7.9
3.0,0.6677592750033634,69.61099900041275,56.4578198413279,convergenta,6.0,1.9,4.9
20.0,152.11397291001742,41.076860880515994,53.659864926248915,divergenta,9.0,4.2,5.5
17.0,27.871326612283795,13.803199007341115,57.70585846886599,divergenta,2.0,2.3,4.8
1.0,36.745969592470686,17.96365279081029,62.24951049524752,convergenta,7.0,2.3,4.6
23.0,45.94761307656461,38.96857856530627,79.64731597182346,convergenta,1.0,5.2,
1.0,159.23197023207166,47.54106802606822,80.62126245483671,,6.0,5.5,4.0
7.0,37.16125402433665,31.44962628436814,61.63009387285422,convergenta,6.0,4.5,4.5
20.0,143.5547449562292,70.33316402111952,74.46127496554688,convergenta,4.0,6.5,3.7
15.0,145.4488812581228,67.59194839707585,74.10309263838674,convergenta,5.0,8.9,3.5
11.0,166.86370238155124,83.44906266358062,72.65553831426125,convergenta,7.0,7.8,3.9
20.0,20.801036448056514,2.6057294124264487,90.1772647456329,convergenta,6.0,7.2,4.7
25.0,39.11021502080964,80.61221620891831,73.58465349378159,convergenta,4.0,4.6,3.8
29.0,133.72169257452984,35.33119096159359,87.9182747978083,convergenta,9.0,4.0,5.7
9.0,35.28013577053303,79.05352458419947,58.324056590239906,convergenta,8.0,5.8,3.9
14.0,51.53931843722083,62.17062985408766,76.5983672036584,transformare,8.0,3.8,6.9
25.0,30.013484420045277,88.86138813665714,91.20523880315977,convergenta,9.0,2.8,6.0
3.0,31.08540350790887,68.33542065450013,58.88582919581288,convergenta,9.0,8.0,3.3
4.0,86.67960383307702,32.809016339710794,73.24610843488311,divergenta,7.0,2.4,6.2
3.0,19.742951180332536,45.09568555512769,80.45396580178584,convergenta,8.0,8.9,4.1
12.0,57.905571323452,,59.238728741864364,convergenta,9.0,3.4,4.3
14.0,76.78690372779822,32.84206524191143,87.83828029557014,convergenta,3.0,7.0,4.5
17.0,4.418660974315967,23.481404944295377,53.94981238981587,divergenta,4.0,2.0,4.8
9.0,69.89996996540147,,97.32077544538595,transformare,5.0,7.5,6.5
9.0,16.942038495393053,61.356595056242504,73.41107471090679,transformare,5.0,5.4,6.5
20.0,88.8441356063118,,66.80615431827383,convergenta,,8.8,3.2
9.0,148.63287394027734,47.1941829969498,,transformare,5.0,5.2,5.7
27.0,,10.564226475350146,71.62983215339324,convergenta,2.0,7.3,3.0
3.0,14.480732796732092,14.386075816877216,82.99020146953859,transformare,3.0,3.2,6.4
25.0,108.22099638141364,4.212571924096987,54.7243639571192,convergenta,6.0,4.1,4.3
21.0,150.22554875482257,87.36582984935696,65.31345475838742,convergenta,7.0,7.4,4.2
4.0,42.83505772823436,0.34743163592349857,91.80087913863557,convergenta,,8.0,4.1
13.0,137.14677206092784,16.072197125189067,82.30905127991636,transformare,3.0,2.3,6.4
15.0,160.33758236101679,55.15800778052931,60.3186505928812,convergenta,6.0,6.7,3.3
1.0,145.10234725927995,7.323263896797477,58.04548978965446,transformare,1.0,8.9,4.4
5.0,19.314185672790813,79.3706852787149,95.22425131004499,convergenta,2.0,8.6,3.4
4.0,1.6307999140292817,64.76581420580594,64.35101106704921,convergenta,2.0,4.2,
14.0,34.51033978593222,86.97509742941041,58.97500844493152,transformare,2.0,3.7,5.7
12.0,48.68592137039218,45.68719925166884,99.99820092713011,divergenta,9.0,2.5,6.7
29.0,110.9129383108727,27.036331484263847,65.45959138889529,transformare,4.0,8.9,5.5
23.0,69.16917154361731,,56.23700939046819,convergenta,4.0,7.3,
14.0,,83.77368455681759,73.08788148764735,transformare,3.0,6.2,5.8
26.0,63.55349289388955,46.86852935176745,71.7172555099241,transformare,4.0,5.4,6.0
14.0,27.796576437828055,24.048632867608678,96.34012379151656,convergenta,4.0,7.5,4.4
12.0,56.284171827486325,78.96589102567077,56.710247373815236,transformare,1.0,6.4,5.2
25.0,159.1783607500443,33.47268736612152,54.55682030646534,convergenta,9.0,5.2,3.8
17.0,172.53582196411168,0.12450149990992254,54.648933545334,convergenta,5.0,4.8,3.4
25.0,37.35229213212632,22.291652024308434,95.21437329111183,transformare,9.0,,7.2
22.0,141.92430966439943,28.641015825935614,72.46845889805385,transformare,1.0,8.8,5.1
15.0,49.202772577176724,77.2899721408712,57.53032640776129,convergenta,4.0,8.4,2.6
26.0,159.68367781765335,41.26528503598005,79.69150491896453,transformare,1.0,4.0,6.2
17.0,29.798210303325984,40.01285590301707,76.88116778254161,convergenta,9.0,2.0,5.8
29.0,119.87278536493024,30.249203975989865,,transformare,4.0,2.7,6.5
26.0,15.158027648372855,79.26103107423717,80.15190697131855,transformare,1.0,6.0,5.5
23.0,175.3007983152965,85.05240992463523,67.01156171584728,transformare,9.0,6.9,6.2
,126.11400203529772,89.27012962391665,61.918538386543496,divergenta,2.0,8.0,4.4
20.0,151.52683309291535,33.90671402648881,75.52003054495141,convergenta,7.0,8.3,3.7
2.0,102.00048108534622,86.95327010644542,64.58246307581938,,1.0,8.5,2.8
9.0,85.82424550719483,71.26916126678113,61.10699608806066,divergenta,7.0,,3.9
1.0,111.93883045098572,,93.9861204149837,transformare,6.0,7.3,6.8
5.0,95.17347210590064,22.040053147808948,57.788128828670864,transformare,3.0,7.0,5.2
28.0,84.48918392612754,19.481153484978883,64.02949886424162,convergenta,4.0,4.1,3.8
28.0,136.7010452623757,14.94430420691211,69.30691899249129,divergenta,6.0,8.5,4.2
26.0,32.07617188906826,83.04809492028288,63.681915515001144,divergenta,4.0,2.5,5.3
7.0,30.810968667928535,26.466899614484948,60.53553212888848,convergenta,8.0,5.6,3.8
22.0,77.73167711694711,40.77848209039906,88.5573048527294,divergenta,7.0,4.9,6.2
14.0,57.73462488809028,44.45620505885012,66.45080793617907,convergenta,1.0,8.2,2.8
8.0,13.342413224344337,70.03544359052287,55.625647884966924,divergenta,5.0,6.3,4.4
25.0,152.0046886353722,75.98114653977217,77.04475812283479,convergenta,9.0,4.4,4.5
25.0,138.88850520498295,12.516543103375152,56.27442486182051,transformare,5.0,2.2,6.0
16.0,97.90586996453726,38.42139241899663,67.8759803720464,convergenta,3.0,3.7,3.9
10.0,176.27841670758642,75.85693990519114,94.0913381136142,transformare,3.0,5.3,6.0
19.0,13.068011978568956,73.62299751802546,68.45805975531098,convergenta,9.0,4.5,4.7
9.0,138.0004741850175,9.217238260717476,,transformare,4.0,8.6,5.3
23.0,47.94667048963743,14.074501398116672,75.73127680043156,convergenta,5.0,6.0,4.0
16.0,66.34780558984357,27.377882243946704,56.88624228889878,transformare,4.0,6.8,5.7
12.0,39.47028933655216,,82.45347988954177,convergenta,5.0,6.0,4.2
7.0,142.02682046313575,38.21967025565336,92.80174984669031,transformare,3.0,4.5,6.9
16.0,25.963218363881882,9.685593463462371,54.6606237022672,convergenta,9.0,2.0,5.0
26.0,151.20300559235002,,87.68400445648957,transformare,2.0,1.7,7.3
2.0,119.0839766813701,22.19012458300405,,transformare,1.0,6.4,5.7
23.0,,53.678975881466044,93.33302874985729,convergenta,4.0,6.7,4.5
13.0,145.97671168802762,10.57730786132739,55.20459660667335,transformare,9.0,2.8,6.7
25.0,112.9960289093363,87.829548157668,65.28476896983393,convergenta,4.0,6.3,3.7
25.0,162.89681752410146,83.93050834716064,84.71457436131871,transformare,5.0,1.6,7.0
4.0,134.77001515355488,35.26172447081992,51.10089894433251,divergenta,9.0,4.8,5.1
19.0,101.00176693735946,21.79607347134769,86.70378388652443,transformare,5.0,3.6,6.4
16.0,150.5784925114556,22.53583915682155,92.89892895005605,divergenta,2.0,8.1,4.4
,50.04904289421998,43.505418168215286,72.66520261883788,convergenta,6.0,3.8,4.5
11.0,98.45101113202145,3.599352171064527,71.71649517133261,convergenta,5.0,4.4,4.1
13.0,52.85102756461383,57.57345954676143,63.9234481034683,transformare,6.0,2.7,7.0
7.0,174.27679039629157,36.74726175057703,50.25259350025436,convergenta,9.0,2.5,5.0
4.0,40.715334151561144,33.96659153299986,59.3151758333178,convergenta,8.0,4.1,4.7
23.0,2.832883140683251,72.84284743402786,98.99320592111856,transformare,1.0,7.1,5.6
6.0,58.65387156068332,63.8131914164961,93.36430385606783,convergenta,7.0,2.0,5.9
24.0,90.45169145456484,85.89004338534228,63.32523193744607,convergenta,2.0,1.9,4.3
12.0,5.105328161413514,31.674261644612166,98.18744285605231,convergenta,2.0,7.6,3.6
,100.66469400610332,80.77884881844649,68.38563079766429,convergenta,5.0,5.4,3.6
12.0,,,64.879268737559,transformare,6.0,,
9.0,126.85179499500062,32.16821864352417,57.64038177249426,transformare,2.0,6.1,5.3
21.0,112.13429813609477,55.9498892807932,95.0805534755337,divergenta,6.0,2.1,6.5
11.0,172.07311512748524,25.9712961886526,99.34962455334296,transformare,6.0,2.8,6.9
23.0,172.49028009157905,78.69599253673582,66.37057020263413,transformare,4.0,4.8,5.5
12.0,148.36796454658113,10.118458549108013,85.17152116792134,convergenta,8.0,2.9,5.2
6.0,109.39353252945318,19.11909251646369,66.76517049047773,convergenta,2.0,8.0,3.2
29.0,87.7976207095872,16.472996287192903,55.24953696527276,transformare,8.0,8.9,5.0
16.0,2.3969003843641157,36.27234021638598,69.6346153441162,convergenta,1.0,6.1,3.4
9.0,109.12714312077746,67.07096640289163,77.5784980380588,divergenta,7.0,6.4,4.8
3.0,178.03585356423366,47.42167041469623,56.15083795882471,convergenta,7.0,8.2,3.0
28.0,147.25818900432523,43.89086911843868,,convergenta,6.0,6.6,4.0
20.0,61.30883589918335,0.04913684072960889,74.86815584466447,transformare,4.0,4.4,6.7
26.0,27.368464507995963,38.286155281954926,61.71914762522865,divergenta,1.0,3.3,4.4
24.0,141.13055060408774,5.719839735254259,79.63797892714717,transformare,7.0,4.6,6.7
22.0,133.9088077137135,18.742792690933545,,convergenta,5.0,8.8,4.0
20.0,174.06842255627816,83.91545450644449,66.38121745259879,divergenta,8.0,2.1,5.4
15.0,157.47162514908098,19.385838390891436,85.07381622002973,convergenta,6.0,2.3,5.3
21.0,100.01927254903333,77.25038747708362,71.39295899903436,divergenta,5.0,6.5,5.2
22.0,18.231164453653584,72.26040344052008,98.20255844228004,transformare,9.0,6.0,7.1
4.0,87.03011850911281,14.323161324801855,88.54700433013659,transformare,4.0,7.0,5.8
4.0,56.46510972401706,54.514076154325096,67.81754512610105,transformare,8.0,8.3,5.8
,92.23352676447116,10.409568471451198,50.887397953088104,divergenta,8.0,5.4,5.1
10.0,54.30628343513757,65.50993425325603,82.87599476902139,divergenta,9.0,4.1,6.2
10.0,155.12813855560722,57.3716049634986,59.89360792924261,convergenta,4.0,5.4,3.8
10.0,151.97886251690798,73.07447055219174,56.09395878245664,divergenta,2.0,2.8,4.8
24.0,56.783728290070066,43.14460944502692,96.58882256983969,convergenta,9.0,8.3,4.2
4.0,107.9246423473191,82.33767790500445,99.99744851074584,divergenta,6.0,6.6,5.2
15.0,77.43255437502974,,63.494441028219256,transformare,5.0,8.0,5.5
27.0,163.63669626514138,26.35997085243132,65.0884276082969,transformare,5.0,3.8,6.1
19.0,33.7249622567381,64.35473377186503,58.24944696190843,convergenta,2.0,8.2,2.4
13.0,125.59111232129268,,72.88423879648118,convergenta,2.0,2.6,4.0
4.0,174.667559010699,,93.29218799178739,convergenta,9.0,4.3,5.5
10.0,31.549593521356233,9.648967088569142,85.07529760624388,transformare,9.0,2.0,7.8
11.0,36.353957116356575,73.56052003154593,92.31657790382938,transformare,4.0,6.1,6.5
28.0,124.87020096100102,42.58286806190798,61.424082783679026,transformare,3.0,3.3,6.2
14.0,140.2477064144845,79.40553047271966,86.52280337042401,convergenta,7.0,3.3,4.9
8.0,88.2988298629079,65.99602208850534,95.926331419803,divergenta,4.0,9.0,4.9
8.0,109.74356372648184,36.87535850676692,64.07080571071953,convergenta,1.0,3.3,4.4
22.0,38.28283358612918,33.61599127401153,84.53267717955926,convergenta,1.0,5.3,3.9
2.0,85.79056114211869,46.407451198612655,70.03287058449273,transformare,6.0,6.1,6.1
13.0,20.172938557484727,80.01539578707558,64.51133225794612,convergenta,9.0,8.8,3.5
3.0,57.855946549619645,,98.48117343771747,divergenta,8.0,,5.4
3.0,51.26034690557177,0.4637667842120907,67.43166149841463,divergenta,6.0,4.6,5.6
,80.0325648184356,62.4742066232213,55.39248406303437,convergenta,9.0,2.3,4.6
2.0,167.42274520386545,82.75566662152386,69.42946048101678,divergenta,1.0,3.0,5.1
6.0,32.62817918661163,63.94101835540424,72.38391454799913,convergenta,2.0,1.6,4.4
9.0,72.24988439244969,15.930520341074633,87.61054127496189,convergenta,3.0,1.5,5.4
5.0,110.80749943973605,43.51663146847128,97.49571334735015,transformare,1.0,7.3,5.8
1.0,170.3802754933203,12.628441613107746,90.85284918971064,divergenta,9.0,4.2,6.5
12.0,23.96667447643827,32.309575050566885,96.54706556275531,transformare,3.0,6.4,6.8
,165.21779105876044,84.34053377464659,73.75300649874656,divergenta,9.0,5.7,5.8
6.0,14.589681954131077,83.09747768028375,85.96582841182172,divergenta,1.0,8.1,4.9
22.0,86.5334514888476,25.45531669584746,65.45247925062012,convergenta,7.0,5.8,3.7
17.0,81.8261761014869,30.566793974957925,53.4793554259509,convergenta,7.0,2.3,4.4
